,anime_id,name,genre,type,episodes,rating,members
1089,21105,Love Stage!!,"Comedy, Romance, Shounen Ai",TV,10,7.69,83397
7379,33103,Zekkyou Gakkyuu: Tensei,"Horror, Shoujo, Supernatural",Special,2,5.49,844
1518,27899,Tokyo Ghoul √A,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,7.52,408357
4590,289,Comic Party,"Comedy, Drama",TV,13,6.68,12988
1027,7647,Arakawa Under the Bridge,"Comedy, Romance, Seinen",TV,13,7.71,162622
4630,2028,Zettai Muteki Raijin-Oh (1992),"Mecha, Sci-Fi, Shounen",OVA,4,6.68,224
8162,21765,Ari to Hato (1959),Kids,Movie,1,4.74,91
11441,17541,Kotowari: Kimi no Kokoro no Koboreta Kakera,Hentai,OVA,2,6.61,2886
7887,2972,Kindan no Mokushiroku: Crystal Triangle,"Adventure, Demons, Military, Mystery",OVA,1,4.75,878
2984,32607,Gi(a)rlish Number,Slice of Life,TV,12,7.11,35072
8103,27557,Ajisai no Uta,"Comedy, Drama, Historical",OVA,3,5.57,111
5558,31845,Masou Gakuen HxH,"Action, Comedy, Ecchi, Fantasy, Harem, Romance, School, Sci-Fi",TV,12,6.42,68025
1751,2336,Hikaru no Go: New Year Special,"Comedy, Game, Shounen, Supernatural",Special,1,7.45,7418
2515,6151,Final Fantasy VII: On the Way to a Smile - Episode: Denzel,"Action, Fantasy, Super Power",OVA,1,7.24,18795
5362,3619,Nanako SOS,"Comedy, Parody, Romance, Super Power",TV,39,6.48,587
8479,20083,Doteraman,"Comedy, Sci-Fi",TV,20,6.0,79
9247,28035,Kitsune no Home Run Ou,"Kids, Sports",Movie,1,4.16,94
3254,580,Kogepan,Comedy,TV,10,7.04,4436
6688,17733,Dibetagurashi: Ahiru no Seikatsu,"Comedy, Slice of Life",TV,39,5.99,586
1080,23251,Gugure! Kokkuri-san,"Comedy, Shounen, Supernatural",TV,12,7.69,87824
9378,31673,Larva 2nd Season,Comedy,TV,34,7.05,92
11253,7178,Tony&#039;s Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection,Hentai,OVA,2,6.97,3550
8206,30093,Ball yo Doko e Yuku,Comedy,ONA,1,3.89,114
554,28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","Action, Adventure, Fantasy, Military",TV,12,7.97,244314
495,30831,Kono Subarashii Sekai ni Shukufuku wo!,"Adventure, Comedy, Fantasy, Supernatural",TV,10,8.03,244877
1360,5713,Minami-ke Betsubara,"Comedy, Slice of Life",OVA,1,7.57,21534
623,2890,Gake no Ue no Ponyo,"Adventure, Fantasy",Movie,1,7.93,140277
234,265,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,1,8.28,40623
3526,5045,Kamen no Maid Guy OVA,"Action, Comedy, Ecchi",OVA,1,6.96,7074
2760,33713,Seihou Bukyou Outlaw Star Specials,"Action, Adventure, Comedy, Ecchi, Sci-Fi",Special,2,7.16,1509
5050,6119,Cookin&#039; Idol Ai! Mai! Main!,"Comedy, Kids",TV,305,6.56,956
3957,7774,Shin Koihime†Musou OVA,"Comedy, Ecchi, Fantasy",OVA,1,6.84,5382
9888,19879,Osomatsu-kun: Suika no Hoshi kara Konnichiwa zansu!,Comedy,Movie,1,6.52,224
86,16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229
10382,21967,Sore Ike! Anpanman: Yousei Rinrin no Himitsu,"Comedy, Fantasy, Kids",Movie,1,5.88,74
645,34036,Detective Conan: Episode One - Chiisaku Natta Meitantei,"Adventure, Comedy, Mystery, Police, Shounen",Special,1,8.1,2493
7444,1075,Netrun-mon the Movie,Comedy,OVA,1,5.42,961
1573,6325,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,"Action, Comedy, Martial Arts, Shounen, Super Power",Movie,1,7.5,83515
3220,1119,Pokemon: Celebi Toki wo Koeta Deai,"Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,7.05,58359
10387,33188,Sore Ike! Sabuibo Mask,"Comedy, Slice of Life",TV,8,3.0,101
403,21855,Hanamonogatari,"Comedy, Mystery, Supernatural",TV,5,8.11,124886
8836,18033,Hello Kitty no Yuubinya-san Arigatou,"Fantasy, Kids",OVA,1,6.23,109
5019,819,Boku wa Imouto ni Koi wo Suru,"Romance, Shoujo",OVA,1,6.57,26923
1427,32792,Mobile Suit Gundam Unicorn RE:0096,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,22,7.56,9767
6298,34048,Seoul-yeok,"Horror, Thriller",Movie,1,6.18,405
11998,24743,Yakin Byoutou Specials,Hentai,OVA,2,5.76,608
1763,6153,Saint Seiya: Soushuuhen,"Adventure, Fantasy, Sci-Fi, Shounen",Special,1,7.45,4031
9472,10135,Manga Hajimete Monogatari,"Adventure, Comedy, Historical",TV,305,6.36,169
12112,5285,SeeIn AO,Hentai,OVA,2,5.52,487
5419,1883,Kappa no Kaikata,Comedy,TV,26,6.46,1209
5508,12967,Arcana Famiglia,"Action, Harem, Romance, Shoujo",TV,12,6.43,106391
9519,25265,Megumi to Taiyou: Kajuu Gummi Tweet Love Story,"Romance, Slice of Life",Special,1,5.36,232
9245,33858,Kissaten Soudou,Comedy,ONA,1,3.46,34
652,19489,Little Witch Academia: Mahoujikake no Parade,"Adventure, Comedy, Fantasy, Magic, School",Movie,1,7.92,53024
455,33032,Drifters: Special Edition,"Action, Adventure, Comedy, Fantasy, Historical, Samurai, Seinen",OVA,1,8.06,9807
1952,6380,Tetsuwan Birdy Decode: The Cipher,"Action, Comedy, Sci-Fi",OVA,1,7.4,12944
8842,22441,Hello Kitty: Ringo no Mori to Parallel Town,"Comedy, Fantasy, Kids",TV,27,6.38,115
195,1033,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8.34,58492
3937,723,Candy Candy (Movie),"Drama, Shoujo, Slice of Life",Movie,1,6.84,2110
7946,7027,Manga,Comedy,Movie,1,4.52,492
8232,8521,Biriken Nandemo Shoukai,"Comedy, Kids",TV,22,4.77,96
2346,352,Motto! Ojamajo Doremi,"Comedy, Fantasy, Magic, Shoujo",TV,50,7.29,8760
11237,30898,Tsunpri,Hentai,OVA,1,7.02,2362
2020,152,Solty Rei,"Action, Sci-Fi, Super Power",TV,24,7.38,17943
8155,34249,Aqua Kids,"Adventure, Kids",TV,26,6.5,24
8387,32944,CoCO &amp; NiCO,"Comedy, Kids",TV,39,4.53,318
2636,19877,Battle Spirits: Sword Eyes Gekitouden,Shounen,TV,21,7.21,570
11685,1558,Yarima Queen,"Comedy, Demons, Fantasy, Hentai, Magic, Parody",OVA,1,6.26,2153
9240,31071,"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou",Comedy,TV,5,4.14,234
11569,24273,Iinari! Saimin Kanojo,Hentai,OVA,2,6.41,2867
8226,3909,Bikkuriman,"Comedy, Fantasy",TV,75,6.68,250
10142,33860,Saru Kani Gassen (Yokoku),Historical,ONA,1,2.84,38
8316,17893,Cheonbangjichuk Hani,"Comedy, Drama, School, Sports",TV,13,6.78,149
653,4472,Lucky☆Star: Original na Visual to Animation,"Comedy, Parody, School, Slice of Life",OVA,1,7.92,84833
6693,1220,Hoshizora Kiseki,"Romance, Sci-Fi",ONA,1,5.99,7674
10659,10909,Ultraman Kids: M7.8 Sei no Yukai na Nakama,"Kids, Super Power",Movie,1,5.39,118
3737,4073,Kyouryuu Daisensou Aizenborg,"Action, Mecha",TV,39,6.9,411
2590,5691,Rekka no Honoo: Final Burning,"Action, Adventure, Magic, Martial Arts, School, Sci-Fi, Super Power",Special,1,7.22,4083
9150,20127,Kariage-kun,"Comedy, Seinen, Slice of Life",TV,59,6.5,79
8210,16514,Batsu &amp; Terry,"Comedy, Drama, School, Shounen, Sports",Movie,1,6.19,152
8804,22489,Hello Kitty no Hansel to Gretel,"Fantasy, Kids",OVA,1,5.76,117
6241,23753,Kishin Houkou Demonbane (TV) Specials,"Magic, Mecha, Sci-Fi, Supernatural",Special,2,6.2,571
220,33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School",OVA,1,8.31,35120
2450,3946,Jarinko Chie,"Comedy, Drama, Slice of Life",Movie,1,7.26,1406
9508,9821,McDull and Chinese Culture,"Comedy, Historical",TV,5,6.79,90
665,18897,Nisekoi,"Comedy, Harem, Romance, School, Shounen",TV,20,7.91,347599
12201,2239,Sei Michaela Gakuen Hyouryuuki,Hentai,OVA,2,5.26,417
9276,33881,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Washi to Ore!? - Bokura wa Asakusa Shounen Tanteid,"Comedy, Police",Special,2,7.18,116
9437,22239,Mahou no Yousei Persia Pilot,Magic,Special,1,5.09,151
11319,21751,Okusama wa Moto Yariman,Hentai,OVA,2,6.83,3390
1034,7661,Giant Killing,"Drama, Seinen, Sports",TV,26,7.71,36947
7885,13421,Wheels,Comedy,OVA,1,4.76,314
5787,2059,Mainichi ga Nichiyoubi,"Comedy, Romance",OVA,6,6.35,735
1120,8217,Jewelpet Twinkle☆,"Fantasy, Magic, School, Shoujo",TV,52,7.67,4110
10682,30863,Usalullaby,Dementia,Movie,1,4.0,80
1651,2969,Appleseed Saga Ex Machina,"Action, Mecha, Military, Sci-Fi",Movie,1,7.47,28365
5367,30679,Queen&#039;s Blade: Grimoire,"Action, Adventure, Ecchi, Fantasy",OVA,2,6.48,3831
11517,217,Shin Angel,"Comedy, Drama, Hentai, Romance",OVA,5,6.49,1420
6219,17237,Peeping Life: World History,"Comedy, Historical, Slice of Life",ONA,40,6.21,361
9808,18469,Odoriko Clinoppe,"Comedy, Slice of Life",TV,26,5.75,99
11459,9309,Kansen 3: Shuto Houkai,Hentai,OVA,2,6.58,2654
10651,30054,Uli Sai Jjang-Iya,School,Movie,1,5.0,36
2417,31645,Persona 5 the Animation: The Day Breakers,"Action, Fantasy, Seinen, Supernatural",Special,1,7.27,12779
3222,1489,Renkin San-kyuu Magical? Pokaan Specials,"Comedy, Ecchi, Magic, Parody, Vampire",Special,3,7.05,4684
6018,17963,"Tetsuwan Atom: Kagayakeru Hoshi - Anata wa Aoku, Utsukushii...","Mecha, Sci-Fi",Movie,1,6.28,302
10542,9956,The Primitives: Bongo and Grunge,Comedy,TV,52,5.5,58
3755,16419,Dokidoki! Precure,"Action, Fantasy, Magic, Shoujo",TV,49,6.89,7571
6828,16798,Ttori wa Zeta Robot,"Action, Adventure, Kids, Mecha",Movie,1,5.91,334
5437,3472,Tenrankai no E,Comedy,Movie,1,6.46,1065
9029,32777,Jitensha-hen,Music,Music,1,3.53,67
5262,8553,Time Bokan Series: Time Patroltai Otasukeman,"Action, Adventure, Comedy, Sci-Fi",TV,53,6.51,341
6567,6798,Saa Ikou! Tamagotchi,Kids,TV,12,6.06,487
6796,9279,Bara no Hana to Joe,"Drama, Kids",Movie,1,5.92,306
10518,19445,Tetsujin 28-gou Gao!,"Mecha, Slice of Life",TV,151,7.33,137
2059,8934,Star Driver: Kagayaki no Takuto,"Action, Mecha, Romance, Shounen",TV,25,7.37,66084
9528,27559,Mellow,"Comedy, School, Seinen",OVA,1,6.23,122
5221,10547,Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,"Drama, Ecchi, Fantasy, Harem, Romance",OVA,1,6.52,8216
11619,1821,Guren,"Harem, Hentai",OVA,3,6.36,3034
407,29831,Tamayura: Sotsugyou Shashin Part 4 - Ashita,"Comedy, Drama, Slice of Life",Movie,1,8.1,3187
5940,6095,Azuki-chan the Movie,"Comedy, Romance, Shoujo, Slice of Life",Movie,1,6.3,390
5990,24527,Yomigaeru Sora Pilot,"Action, Military, Seinen",Special,1,6.29,298
9065,29746,Kaden Manzai John TV Show!,Comedy,TV,25,5.67,42
6706,18419,Boku no Imouto wa &quot;Osaka Okan&quot;: Uchi no Oniichan wa Tokyo Rule,Comedy,Special,1,5.98,2297
6149,9423,Koko ni Iru,Slice of Life,ONA,1,6.24,401
4182,9119,Chirorin Mura Monogatari,"Kids, Slice of Life",TV,170,6.78,411
418,32093,Tanaka-kun wa Itsumo Kedaruge,"Comedy, School, Slice of Life",TV,12,8.1,101335
7262,2719,MapleStory,"Action, Comedy, Fantasy, Kids, Romance",TV,25,5.59,3327
10764,18489,Xi Yang Yang Yu Hui Tai Lang: Zhi Tu Nian Ding Gua Gua,"Adventure, Comedy, Kids",Movie,1,5.74,103
216,9735,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,14002
1553,9340,Cheburashka,Comedy,Movie,1,7.5,545
4445,7364,Dragon Quest: Dai no Daibouken Buchiyabure!! Shinsei 6 Daishougun,"Action, Adventure, Fantasy, Magic, Shounen",Movie,1,6.72,736
8846,28353,Henteko na Volunteer,"Drama, Slice of Life",OVA,1,8.33,44
8651,27921,Genkichi Jiisan to Kogitsune,"Drama, Kids",OVA,1,6.6,54
7358,31494,Mini-Chara Macross,"Comedy, Mecha, Parody",Special,1,5.5,278
5067,2503,Nangoku Shounen Papuwa-kun,"Adventure, Comedy, Shounen",TV,42,6.56,407
5941,1542,Brain Powerd,"Action, Adventure, Mecha, Sci-Fi",TV,26,6.3,5058
2033,1369,Detective Conan OVA 01: Conan vs. Kid vs. Yaiba,"Adventure, Comedy, Mystery, Shounen",OVA,1,7.37,10294
10794,23765,Yamiyo no Jidaigeki,"Historical, Horror",Special,2,4.27,89
1228,31706,Fate/kaleid liner Prisma☆Illya 3rei!!,"Action, Comedy, Fantasy, Magic",TV,12,7.62,30457
9429,22981,Magical★Taruruuto-kun: Moeru! Yuujou no Mahou Taisen,"Adventure, Comedy, Ecchi, Fantasy, Magic, School",Movie,1,6.6,91
3419,30806,Schwarzesmarken,"Action, Drama, Historical, Mecha, Military, Sci-Fi",TV,12,7.0,51632
7117,31618,Kanojo ga Kanji wo Suki na Riyuu.,"School, Slice of Life",ONA,2,5.71,449
2172,1901,11-nin Iru!,"Action, Adventure, Drama, Mystery, Romance, Sci-Fi, Shoujo, Space",Movie,1,7.33,4311
69,12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958
4172,1618,Soreyuke! Uchuu Senkan Yamamoto Yohko (1999),"Action, Adventure, Sci-Fi",TV,26,6.79,2430
11573,8653,Mahou Shoujo Isuka,Hentai,OVA,3,6.41,2600
11796,31652,Taimanin Asagi 2,"Demons, Hentai, Supernatural",OVA,2,6.08,1904
12124,3066,Joou-sama wa M Dorei,Hentai,OVA,1,5.5,1048
2142,376,Elfen Lied Special,"Drama, Ecchi, Horror, Psychological, Supernatural",Special,1,7.34,116129
2742,23237,Chuunibyou demo Koi ga Shitai! Ren Specials,Comedy,Special,7,7.17,20337
5728,4614,Moero Arthur: Hakuba no Ouji,"Adventure, Drama, Historical, Romance",TV,22,6.37,267
7830,19231,Jam,"Fantasy, Music",Music,1,4.91,343
4832,2485,Doku Tenshi no Shippo,"Comedy, Fantasy, Magic, Romance",Special,4,6.62,1184
1607,23725,Strike Witches: Operation Victory Arrow,"Action, Ecchi, Magic, Military, Sci-Fi",OVA,3,7.49,11203
9361,17447,Kyojin no Hoshi: Shukumei no Taiketsu,"Drama, Sports",Movie,1,4.75,87
319,6045,Kimi ni Todoke,"Romance, School, Shoujo, Slice of Life",TV,25,8.19,309339
9239,10759,Kintarou,Drama,Movie,1,5.93,91
6683,10545,The Epic Of ZektBach,"Action, Fantasy, Supernatural",OVA,1,6.0,2792
3731,6069,Gregory Horror Show,"Comedy, Demons, Horror, Mystery, Supernatural, Vampire",TV,25,6.9,1385
5066,3810,Mori no Youki na Kobito-tachi: Belfy to Lillibit,"Adventure, Comedy, Fantasy",TV,26,6.56,561
11269,5172,Love Selection The Animation,Hentai,OVA,2,6.92,3780
10691,30131,Uwabaki Cook,Kids,TV,13,4.57,67
11299,3919,Shimaizuma: Shimaizuma 3 The Animation,Hentai,OVA,2,6.86,2393
6486,3104,Geisters: Fractions of the Earth,"Action, Sci-Fi",TV,26,6.09,670
10150,28615,Sazae-san: Dawn to Ikka de Hawaii Ryokou,"Comedy, Slice of Life",Special,1,6.14,107
11203,4763,Tsuma Shibori,"Hentai, Romance",OVA,2,7.11,4230
8093,22603,Ahiru no Pekkle no Sindbad no Bouken,"Adventure, Fantasy, Kids",OVA,1,5.55,146
11798,20959,Kansen: Ball Buster The Animation,Hentai,OVA,1,6.07,1944
5105,31534,Larva,Comedy,TV,26,6.57,139
7958,6851,Kaitei no Boukun,Adventure,Movie,1,4.45,474
7970,6844,Osaru no Sankichi: Boukuusen,Military,Movie,1,4.39,525
4724,33309,Jie Mo Ren,"Action, Fantasy, Mystery, Supernatural",ONA,14,6.65,942
6995,13693,Ippatsu Hicchuu!! Devander,"Action, Mecha, Parody, Sci-Fi, Super Power",OVA,1,5.8,316
775,22199,Akame ga Kill!,"Action, Adventure, Fantasy",TV,24,7.84,492133
4279,2224,Hikari no Densetsu,"Music, Romance, Shoujo, Sports",TV,19,6.76,2028
8839,18827,Hello Kitty: Mahou no Mori no Ohimesama,"Fantasy, Kids, Magic",Movie,1,6.36,141
8019,16822,Uju Heukgisa,"Action, Sci-Fi, Space",Movie,1,3.87,224
2963,15807,Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,"Comedy, Ecchi, School, Sports",OVA,1,7.12,10122
9348,26043,Kurumiwari Ningyou (2014),"Drama, Fantasy, Romance",Movie,1,7.0,136
11755,6694,Triangle Blue,Hentai,OVA,2,6.15,3602
3533,19285,Shingeki no Kyojin: Ano Hi Kara,"Action, Drama, Fantasy, Shounen, Super Power",Special,1,6.96,49593
3769,7590,Mayoi Neko Overrun!,"Comedy, Harem, Romance",TV,13,6.89,75517
4768,3100,Kamen Rider SD Kaiki?! Kumo Otoko,"Action, Parody",OVA,1,6.64,575
2675,28539,Garo Movie: Divine Flame,"Action, Demons, Fantasy, Magic, Supernatural",Movie,1,7.18,7179
6840,2525,Kekkou Kamen,"Comedy, Ecchi",OVA,4,5.9,2344
9478,23001,Manga Jinbutsushi,Historical,TV,365,6.91,71
1837,4664,Rurouni Kenshin: Special Techniques,"Action, Comedy, Samurai",Special,1,7.43,6677
10743,31697,Witch Village Story Specials,Slice of Life,Special,2,4.29,34
9475,30312,Manga Hajimete Omoshiro Juku OVA,"Adventure, Kids",OVA,4,6.11,48
9935,33122,Pâtisserie no Monster,Slice of Life,ONA,4,4.61,100
2516,1179,Gakuen Senki Muryou,"Adventure, Mecha, Sci-Fi, Shounen, Space, Supernatural",TV,26,7.24,3108
11985,10552,Akebi no Hana: Maho,Hentai,OVA,1,5.77,1922
9232,33034,Kiniro Mosaic: Pretty Days,"Comedy, School, Slice of Life",Movie,1,7.23,4505
11122,22069,Swing Out Sisters (2014),Hentai,OVA,1,7.61,5099
2493,5440,Ougon Yuusha Goldran,"Action, Adventure, Fantasy, Mecha, Sci-Fi, Shounen",TV,48,7.25,910
9482,10137,Manga Naruhodo Monogatari,"Adventure, Kids",TV,102,6.74,115
4201,32287,Kanamewo,"Drama, Romance, Shoujo Ai, Supernatural",ONA,1,6.79,3581
1398,2203,Waga Seishun no Arcadia: Mugen Kidou SSX,"Action, Adventure, Drama, Sci-Fi, Space",TV,22,7.56,2587
1475,11499,Sankarea,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",TV,12,7.53,222657
11491,9545,Elf Hime Nina,"Fantasy, Hentai, Supernatural",OVA,3,6.53,2684
5595,2162,Koutetsu Sangokushi,"Adventure, Historical, Shounen",TV,25,6.41,6544
9197,22619,Kero Kero Keroppi no Tomodachitte Ii na,Kids,OVA,1,6.31,71
5577,12683,Yumeyume,Music,Music,1,6.42,915
8224,30839,Big X Episode 0,"Action, Historical, Sci-Fi, Shounen",Special,1,5.7,55
11721,3833,Issunboushi (OVA),Hentai,OVA,2,6.2,1156
7667,18841,PES: Peace Eco Smile - Drive your Heart,"Cars, Romance, Sci-Fi",ONA,1,5.16,449
8847,16552,Heong-geuli Beseuteu 5,Sports,Movie,1,4.5,81
9342,17669,Kunimatsu-sama no Otoridai,"Comedy, School, Sports",TV,46,6.88,95
3057,2717,Ginga Tetsudou Monogatari: Eien e no Bunkiten,"Action, Adventure, Drama, Sci-Fi, Space",TV,24,7.09,2072
4842,15279,Kira Kira 5th Anniversary Live Anime: Kick Start Generation,Music,OVA,1,6.62,1381
2778,3432,Chou Mashin Eiyuuden Wataru,"Action, Adventure, Comedy, Mecha",TV,51,7.16,615
6348,5503,Atagoal wa Neko no Mori,Kids,Movie,1,6.15,483
12136,5108,Ryuusei Tenshi Primaveil,Hentai,OVA,1,5.48,590
3182,12281,Rinne no Lagrange Season 2,"Action, Comedy, Mecha, Sci-Fi",TV,12,7.06,19427
5579,17681,Zettai Bouei Leviathan,"Comedy, Fantasy, Magic",TV,13,6.42,18202
3620,509,I My Me! Strawberry Eggs,"Comedy, Drama, Romance, School, Slice of Life",TV,13,6.93,25043
4540,1980,Trava: Fist Planet,"Action, Comedy, Mecha, Sci-Fi, Space",OVA,4,6.7,8535
5886,17295,Cosmic Break,"Drama, Game, Mecha",ONA,4,6.32,280
1853,10444,Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,"Action, Adventure, Comedy, Fantasy, Shounen",TV,24,7.42,12505
10649,8346,Ukkari Pénélope OVA,Fantasy,OVA,2,5.93,100
4676,3185,Fortune Quest L,"Adventure, Comedy, Fantasy, Magic",TV,26,6.66,845
4168,32625,Okusama ga Seitokaichou! OVA: Okusama Gekijou,"Comedy, Shounen",Special,7,6.79,2572
11970,4558,Yukiyo Ichiya Monogatari,"Hentai, Historical",OVA,3,5.81,922
4700,18799,Take Your Way,"Action, Music, Seinen, Supernatural",Music,1,6.66,1387
5499,4853,Tezuka Osamu no Don Dracula,"Comedy, Horror, Supernatural, Vampire",TV,8,6.44,934
10795,23767,Yamiyo no Jidaigeki (OVA),"Historical, Horror",OVA,2,4.33,74
11750,31101,"Aniki no Yome-san nara, Ore ni Hamerarete Hiihii Itteru Tokoro Da yo",Hentai,OVA,1,6.15,1807
6115,3509,Riki-Oh: Toukatsu Jigoku,"Action, Martial Arts, Seinen, Super Power",OVA,1,6.25,1319
1895,20689,Hamatora The Animation,"Comedy, Mystery, Super Power",TV,12,7.41,133571
5997,841,Colorful,"Comedy, Ecchi, Slice of Life",TV,16,6.28,13960
8008,22177,Madonna (Movie),Dementia,Movie,1,4.0,248
7069,19137,EDEN,Music,Music,1,5.75,1159
8917,30981,Hotaru no Mau Machi de,"Drama, Kids",OVA,1,6.17,43
5603,6979,Shukufuku no Campanella,"Adventure, Fantasy, Harem, Magic",TV,12,6.41,20054
905,540,Tenchi Muyou! Ryououki 2nd Season,"Action, Comedy, Harem, Sci-Fi, Shounen, Space",OVA,6,7.78,15837
10783,12795,Yajikita Gakuen Douchuuki,"Adventure, Martial Arts, School, Shoujo",OVA,2,5.91,255
10574,33533,Tokyo Onlypic,"Comedy, Parody, Sports",Movie,1,6.33,29
476,9513,Beelzebub,"Action, Comedy, Demons, School, Shounen, Supernatural",TV,60,8.04,217752
5357,1428,Lupin III: Secret File,"Adventure, Comedy, Shounen",OVA,1,6.48,1994
6365,3759,School Days: Valentine Days,"Comedy, Romance, School",OVA,1,6.15,32917
